date,focal_male,sl,distance,aggression,fm_ejac,sneak_ejac,spawning,monopolise
5/14/1997,A,55,60,20,4,1,yes,no
5/14/1997,A,55,20,113,0,0,no,yes
5/14/1997,A,55,10,43,1,0,no,yes
5/14/1997,A,55,100,32,4,2,no,no
5/14/1997,A,55,30,28,1,0,no,no
5/14/1997,A,55,50,46,0,0,no,no
5/14/1997,B,55,80,44,1,1,no,no
5/14/1997,B,55,40,47,8,2,no,no
5/14/1997,B,55,90,83,10,4,no,no
5/14/1997,B,55,50,43,1,0,no,no
5/14/1997,B,55,70,25,0,0,no,no
5/15/1997,C,53,10,11,0,0,no,yes
5/15/1997,C,53,70,15,0,0,no,yes
5/15/1997,D,52,20,22,2,0,yes,yes
5/15/1997,D,52,90,3,0,0,no,yes
5/15/1997,E,58,90,11,0,0,no,no
5/15/1997,E,58,30,17,7,0,yes,yes
5/15/1997,E,58,60,18,0,0,no,yes
5/15/1997,F,56,10,10,2,0,no,yes
5/15/1997,F,56,10,18,6,0,yes,yes
5/19/1997,G,58,70,24,0,1,no,no
5/19/1997,G,58,30,28,0,1,no,yes
5/19/1997,G,58,90,55,0,2,no,no
5/19/1997,G,58,40,14,0,0,no,yes
5/19/1997,H,43,80,4,2,0,no,no
5/19/1997,H,43,50,11,2,0,no,no
5/19/1997,H,43,80,27,7,4,yes,no
5/19/1997,I,55,80,7,0,0,no,no
5/19/1997,I,55,70,3,0,0,no,no
5/19/1997,I,55,20,13,1,1,yes,yes
5/19/1997,J,55,20,13,0,0,no,yes
5/19/1997,J,55,50,8,1,0,yes,yes
5/20/1997,K,58,40,32,0,2,no,yes
5/20/1997,K,58,90,13,0,1,no,no
5/20/1997,K,58,60,10,0,2,no,no
5/20/1997,L,56,60,17,0,0,no,yes
5/20/1997,L,56,10,3,0,0,no,yes
5/20/1997,L,56,100,5,0,0,no,yes
5/20/1997,M,55,80,3,3,0,yes,yes
5/20/1997,M,55,40,6,0,1,no,yes
5/20/1997,M,55,50,1,0,0,no,yes
5/20/1997,N,55,70,12,2,0,yes,yes
5/20/1997,N,55,10,12,1,0,no,yes
5/20/1997,N,55,100,5,7,1,yes,yes
6/4/1997,O,54,10,7,0,0,no,yes
6/4/1997,O,54,70,8,1,0,no,no
6/4/1997,O,54,40,8,0,0,no,yes
6/4/1997,P,55,20,18,3,2,no,yes
6/4/1997,Q,57,90,10,0,0,no,no
6/4/1997,Q,57,30,3,0,1,no,yes
6/4/1997,Q,57,40,3,0,0,no,yes
6/5/1997,R,57,10,33,0,3,no,yes
6/5/1997,R,57,60,18,0,3,no,yes
6/11/1997,S,53,30,16,2,0,no,yes
6/11/1997,T,54,20,31,3,5,no,yes
6/11/1997,T,54,60,21,2,2,no,no
